ソンリム	Songnim
シャンハイ	Shanghai
ロイチン	Ruijin
ゴルフ	Gorufu
ジャック	Jack
ゴルフ	Gorufu
チベット	Tibet
スエズ	Suez
スエズ	Suez
ダイウ	Daewoo
テグ	Daegu
チリサン	Jirisan
タンシャン	Tangshan
ゴルフ	Gorufu
ゴルフ	Gorufu
ピョンヤン	Pyongyang
ペキン	Beijing
パク	Park
アンパル	Amparu
ランタオ	Lantau
ルソン	Luzon
アモイ	Xiamen
トクド	Dokdo
ハロップ	Harrop
ユンピン	Yongping
エタ	ETA
イルグン	Irgun
ピエモンテ	Piemonte
ブリヤンスク	Bryansk
ハイナン	Hainan
ヤマハ	Yamaha
プレステ	Playstation
アシモ	ASIMO
オキシフル	Oxyfull
ドリキャス	Dreamcast
アストラゼネカ	AstraZeneca
ナイネックス	Nynex
ペンタックス	Pentax
セクレタリアト	Secretariat
ペプシ	Pepsi
ドコモ	DoCoMo
ボルボ	Volvo
レキシン	Lexin
ミシュラン	Michelin
キルヒホッフ	Kirchhoff
アキュテイン	Accutane
アクトス	Actos
アスパック	Aspack
イソジン	Isodine
インテルサット	Intelsat
エクセラン	Excelan
オリザニン	Oryzanin
キヤノン	Canon
パイオニア	Pioneer
クリプケ	Kripke
ゴラテックス	Gore-Tex
ゴアテックス	Gore-Tex
サイゼリヤ	Saizeriya
サイゼ	Saizeriya
シンデレラ	Cinderella
スタバ	Starbucks
ジオトピア	Geotopia
タミフル	Tamiflu
ダイナブック	DynaBook
テトラパック	Tetrapack
テトロン	Tetoron
テフロン	Teflon
テレトピア	Teletopia
デコラ	Decola
デポプロベラ	Depo-provera
ヌテッラ	Nutella
ヌテラ	Nutella
ネッスル	Nestlé
ハロステン	Halosten
ビタライス	Vitarice
ブロトポン	Brotopon
ベルコア	Bellcore
ラコステ	Lacoste
マンシングウエア	Munsingwear
ベレッタ	Beretta
マクド	McDonald's
モジラ	Mozilla
ランセル	Lancel
ネットフリックス	Netflix
プラウダ	Pravda
イズベスチア	Izvestia
ロットリング	Rotring
ロラメット	Loramet
トレッビア	Trebbia
ラップランド	Lapland
ゴルドシュミット	Goldschmidt
エネマグラ	Enemagra
レンナット	Lennart
クラムボン	Clammbon
アリヤラトネ	Ariyaratne
サルボダヤ	Sarvodaya
ハニャン	Hanyang
ジャパネット	Japanet
デコメ	Deco-mail
シルケット	Silket
サニスタンド	Sanistand
サイベックス	Cybex
リラックマ	Rilakkuma
ジブリ	Ghibli
マリノス	Marinos
ブリジストン	Bridgestone
ワッチ	Wacci
ピンタレスト	Pinterest
カカクコム	Kakaku.com
メルキゼデク	Melchizedek
セレソン	Seleção
ナイキ	Nike
キングスベリ	Kingsbury
キバソフト	KIVASOFT
ニチガス	Nichigas
ビットキャッシュ	BitCash
マインクラフト	Minecraft
テクトロニクス	Tektronix
スリップノット	SlipKnot
ダフニス	Daphnis
ロンゴス	Longus
ラオコオン	Laocoon
ネトフリ	Netflix
オリコン	Oricon
ハンソン	Hanson
モルド	Mold
コトバンク	Kotobank
マクシス	Maxis
ピョンチャン	Pyeongchang
ミルヤン	Miryang
インチョン	Incheon
シニジュ	Sinuiju
ラソン	Rason
ライン	Rhine
メデイア	Medea
ヤンゴン	Yangon
ゲルググ	Gelgoog
ズマ	Zuma
コヤン	Gojang
バノン	Bannon
モクポ	Mokpo
ビルケンシュトック	Birkenstock
エシレ	Échiré
ドロイド	droid
プンゲリ	Punggye-ri
キノピオ	Toad
ワリオ	Wario
クッパ	Bowser
ハナチャン	wiggler
ジュゲム	Lakitu
マイクラ	Micra
テレネット	Telenet
レブル	Rebel
アルセスト	Alceste
ジャストネット	JustNet
レゴランド	Legoland
コイグル	Oikull
フランソア	François
セルン	CERN
ロスコスモス	Roscosmos
ゲルラッハ	Gerlach
ウンジョン	Unjeon
コセット	Kosset
アブリコソフ	Abrikosov
ピエトリ	Pietri
ゼンリン	Zenrin
アイマック	iMac
アイブック	iBook
ビズテック	Biztech
エドサック	EDSAC
エドバック	EDVAC
サイラック	CSIRAC
ユニバック	UNIVAC
ユニシス	Unisys
ナポレオン	Napoleon
ハガニア	Hagatna
フレッツ	FLET'S
ポイヤック	Pauillac
ビザ	Visa
オウムアムア	'Oumuamua
カラブリア	Calabria
ビンク	Vink
スカンセン	Skansen
キンポ	Gimpo
シャオミ	Xiaomi
ライザップ	Rizap
トカレフ	Tokarev
コンパクトフラッシュ	CompactFlash
カックロ	Kakuro
イオン	AEON
プリアポス	Priapus
リポスト	Riposto
ジャンホワ	Changhua
タイバオ	Taibao
アイパック	iPaq
ハギビス	Hagibis
ノベル	Novell
ボウソナロ	Bolsonaro
ザラ	Zara
ブラックライン	BlackLine
サボン	SABON
ロンドニア	Rondônia
セルジッペ	Sergipe
パライバ	Paraíba
ピアウイ	Piauí
ゴイアス	Goiás
パンタナル	Pantanal
スナップチャット	Snapchat
スナチャ	Snapchat
ヘナト	Renato
テメル	Temer
ジルマ	Dilma
ジウマ	Dilma
リエンジアン	Lienchiang
イケア	IKEA
コップ	KOPF
エムアイシックス	MI6
ナップ	NAPF
ペン	PEN
スマップ	SMAP
アンタック	UNTAC
アイパッド	iPad
アイポッド	iPod
アイ	Ay
アイアコス	Aeacus
アイアコッカ	Iacocca
アイアス	Aias
アイアソス	Ayiassos
アイアデル	Iredell
アイアトン	Ireton
アイアランド	Ireland
アイアン	Hayen
アイアンサイド	Ironside
アイアンズ	Irons
アイアントン	Ironton
アイイ	Ailly
アイウン	El-Aaiun
アイエ	Aie
アイエア	Aiea
アイエム	Hayem
アイエルマン	Eiermann
アイエロ	Aiello
アイオコ	Ioco
アイオス	Iooss
アイオリス	Aiolis
アイオロス	Aeolus
アイオワ	Iowa
アイギストス	Aegisthus
アイギュプトス	Aigyptos
アイク	Eyck
アイクシュテット	Eickstaedt
アイクホフ	Eickhoff
アイクホルスト	Eickhorst
アイクマン	Eijkman
アイグマン	Eigeman
アイケ	Eike
アイケルマン	Eickelman
アイゲン	Eigen
アイゲンマン	Eigenmann
アイコ	Aiko
アイサ	Isa
アイザ	Isa
アイザイア	Isaiah
アイザック	Izzak
アイザックス	Isacs
アイザット	Izatt
アイシア	Aiscia
アイシス	Isis
アイシャ	Aisha
アイシャム	Isham
アイシュ	Eisch
アイス	Ice
アイスキュロス	Aeschylus
アイスマ	Eisma
アイスランド	Iceland
アイズプテ	Aizpute
アイゼナハ	Eisenach
アイゼルスベルク	Eiselsberg
アイゼレ	Eisele
アイゼレン	Eiselen
アイゼン	Eysen
アイゼンク	Eysenck
アイゼンコルプ	Eisenkolb
アイゼンスタット	Eisenstadt
アイゼンステイン	Eisenstein
アイゼンソン	Izenzon
アイゼンバッド	Eisenbud
アイゼンバルト	Eisenbart
アイゼンベルク	Eisenberg
アイゼンベルグ	Eisenberg
アイゼンマン	Eisenman
アイゼンライヒ	Eisenreich
アイタナ	Aitana
アイダホ	Idaho
アイダン	Aidan
アイッペルレ	Eipperle
アイツ	Eitz
アイテル	Eitel
アイデ	Eide
アイデム	AiDEM
アイト	Eyth
アイトシナイ	Aitoshinai
アイトス	Aytos
アイド	Ihde
アイドル	Idol
アイナ	Ina
アイヌ	Ainu
アイネ	Aine
アイネイアス	Aeneas
アイネズ	Inez
アイネム	Einem
アイネンケル	Einenkel
アイノ	Aino
アイノス	Ainos
アイハ	Aiha
